PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;
oct-24;;;;;;;;
(Número y Monto en miles de $);;;;;;;;
;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$
10;10203;CHONCHI;795;168.353;1.035;219.679;1.830;388.032
10;10204;CURACO DE VELEZ;222;47.486;353;75.645;575;123.131
10;10205;DALCAHUE;778;165.523;924;197.367;1.702;362.890
10;10206;PUQUELDON;248;52.979;435;92.751;683;145.730
10;10207;QUEILEN;355;75.671;425;89.938;780;165.609
10;10208;QUELLON;1.181;251.328;1.280;272.726;2.461;524.054
10;10209;QUEMCHI;649;138.386;753;160.106;1.402;298.492
10;10210;QUINCHAO;531;112.230;815;172.955;1.346;285.185
10;10301;OSORNO;8.553;1.808.866;12.666;2.676.942;21.219;4.485.808
10;10302;PUERTO OCTAY;485;102.865;583;123.354;1.068;226.219
10;10303;PURRANQUE;1.347;287.587;1.822;388.153;3.169;675.740
10;10304;PUYEHUE;665;141.752;814;173.948;1.479;315.700
10;10305;RIO NEGRO;883;186.853;1.166;245.681;2.049;432.534
10;10306;SAN JUAN DE LA COSTA;640;136.242;632;135.130;1.272;271.373
10;10307;SAN PABLO;668;142.284;851;181.213;1.519;323.497
10;10401;CHAITEN;275;58.701;305;64.825;580;123.526
10;10402;FUTALEUFU;190;40.077;199;42.340;389;82.417
10;10403;HUALAIHUE;560;119.410;518;109.944;1.078;229.354
10;10404;PALENA;187;39.755;200;42.534;387;82.289
11;11101;COYHAIQUE;2.686;567.365;3.445;728.154;6.131;1.295.519
11;11102;LAGO VERDE;70;14.973;62;13.286;132;28.259
11;11201;PUERTO AYSEN;1.131;240.040;1.258;265.583;2.389;505.623
11;11202;CISNES;288;61.050;263;56.238;551;117.287
11;11203;GUAITECAS;86;18.429;61;13.072;147;31.502
11;11301;COCHRANE;208;43.644;225;47.182;433;90.826
11;11302;O'HIGGINS;27;5.786;9;1.929;36;7.715
11;11303;TORTEL;20;4.286;17;3.643;37;7.929
11;11401;CHILE CHICO;448;95.456;482;102.109;930;197.565
11;11402;RIO IBAÑEZ;208;44.350;217;46.113;425;90.463
12;12101;PUNTA ARENAS;6.120;1.269.069;8.815;1.852.176;14.935;3.121.245
12;12102;LAGUNA BLANCA;13;2.786;5;1.044;18;3.830
12;12103;RIO VERDE;9;1.800;3;643;12;2.443
12;12104;SAN GREGORIO;15;3.214;10;2.143;25;5.357
12;12201;CABO DE HORNOS;35;7.414;38;8.143;73;15.557
12;12202;ANTARTICA;1;214;1;214;2;429
12;12301;PORVENIR;321;68.247;320;68.001;641;136.249
12;12302;PRIMAVERA;24;5.104;22;4.715;46;9.819
12;12303;TIMANKEL;5;1.051;0;0;5;1.051
12;12401;PUERTO NATALES;1.279;272.674;1.677;350.126;2.956;622.800
12;12402;TORRES DEL PAINE;8;1.714;1;214;9;1.929
13;13101;SANTIAGO;11.531;2.402.057;18.228;3.829.240;29.759;6.231.296
13;13102;CERRILLOS;3.674;772.513;5.517;1.170.678;9.191;1.943.191
13;13103;CERRO NAVIA;7.317;1.560.606;10.237;2.182.285;17.554;3.742.891
13;13104;CONCHALI;6.949;1.468.261;10.426;2.215.392;17.375;3.683.653
13;13105;EL BOSQUE;8.283;1.754.360;11.587;2.458.015;19.870;4.212.374
13;13106;ESTACION CENTRAL;6.420;1.346.847;9.681;2.051.760;16.101;3.398.607
13;13107;HUECHURABA;3.400;710.482;5.110;1.077.861;8.510;1.788.343
13;13108;INDEPENDENCIA;3.944;826.421;6.315;1.337.459;10.259;2.163.880
13;13109;LA CISTERNA;4.718;983.395;7.631;1.613.719;12.349;2.597.114
13;13110;LA FLORIDA;19.117;3.938.797;30.211;6.384.980;49.328;10.323.777
13;13111;LA GRANJA;7.095;1.506.039;9.320;1.981.710;16.415;3.487.749
13;13112;LA PINTANA;8.751;1.868.992;11.049;2.355.215;19.800;4.224.207
13;13113;LA REINA;2.878;578.401;5.864;1.216.037;8.742;1.794.437
13;13114;LAS CONDES;6.993;1.348.899;17.305;3.538.714;24.298;4.887.614
13;13115;LO BARNECHEA;1.965;404.938;3.148;663.023;5.113;1.067.961
13;13116;LO ESPEJO;5.389;1.148.824;7.259;1.545.206;12.648;2.694.030
13;13117;LO PRADO;5.355;1.134.713;8.068;1.714.959;13.423;2.849.673
13;13118;MACUL;5.736;1.182.372;9.856;2.071.996;15.592;3.254.369
13;13119;MAIPU;24.745;5.145.806;36.040;7.643.057;60.785;12.788.863
13;13120;ÑUÑOA;7.209;1.433.854;15.784;3.270.466;22.993;4.704.321
13;13121;PEDRO AGUIRRE CERDA;6.272;1.327.200;8.914;1.893.447;15.186;3.220.647
13;13122;PEÑALOLEN;9.979;2.095.886;15.192;3.219.736;25.171;5.315.623
13;13123;PROVIDENCIA;3.323;650.203;8.161;1.664.687;11.484;2.314.891
13;13124;PUDAHUEL;10.122;2.147.510;13.612;2.897.758;23.734;5.045.268
13;13125;QUILICURA;6.491;1.366.502;8.414;1.789.524;14.905;3.156.025
13;13126;QUINTA NORMAL;6.050;1.275.846;9.123;1.937.871;15.173;3.213.718
13;13127;RECOLETA;8.016;1.693.191;11.686;2.482.096;19.702;4.175.286
13;13128;RENCA;7.172;1.527.820;9.826;2.092.416;16.998;3.620.236
13;13129;SAN JOAQUIN;5.425;1.144.423;8.226;1.739.088;13.651;2.883.511
13;13130;SAN MIGUEL;4.686;964.605;8.298;1.746.572;12.984;2.711.177
13;13131;SAN RAMON;4.783;1.016.913;7.004;1.489.179;11.787;2.506.092
13;13132;VITACURA;1.364;255.697;3.711;752.761;5.075;1.008.459
13;13201;PUENTE ALTO;24.303;5.117.157;33.860;7.192.455;58.163;12.309.612
13;13202;PIRQUE;1.371;287.844;1.403;296.415;2.774;584.259
13;13203;SAN JOSE DE MAIPO;836;174.176;1.076;226.288;1.912;400.464
13;13301;COLINA;4.421;932.861;5.086;1.079.110;9.507;2.011.971
13;13302;LAMPA;3.234;683.640;3.656;776.415;6.890;1.460.055
13;13303;TILTIL;969;203.632;1.096;231.806;2.065;435.438
13;13401;SAN BERNARDO;12.682;2.681.024;17.885;3.799.847;30.567;6.480.871
13;13402;BUIN;4.312;908.520;5.396;1.146.633;9.708;2.055.153
13;13403;CALERA DE TANGO;1.069;224.803;1.252;265.883;2.321;490.686
13;13404;PAINE;3.605;760.698;4.052;862.224;7.657;1.622.922
13;13501;MELIPILLA;7.494;1.584.238;9.208;1.953.750;16.702;3.537.989
13;13502;ALHUE;362;76.796;374;79.849;736;156.645
13;13503;CURACAVI;1.888;395.603;2.315;487.117;4.203;882.720
13;13504;MARIA PINTO;752;158.389;915;194.234;1.667;352.623
13;13505;SAN PEDRO;705;149.632;700;149.447;1.405;299.079
13;13601;TALAGANTE;3.542;745.108;4.752;1.009.581;8.294;1.754.689
13;13602;EL MONTE;1.823;386.971;2.173;462.772;3.996;849.744
13;13603;ISLA DE MAIPO;1.876;397.395;2.062;439.273;3.938;836.668
13;13604;PADRE HURTADO;2.867;605.367;3.279;697.861;6.146;1.303.228
13;13605;PEÑAFLOR;4.229;887.670;5.742;1.220.165;9.971;2.107.834
Total;;;;;;;2.094.109;441.108.282
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
