PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;;;;;;;;;;;;;;
dic-24;;;;;;;;;;;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$;;;;;;;;;;;;;
5;5804;VILLA ALEMANA;892;190.916;2.901;619.185;3.793;810.101;4.919;1.011.340;6.416;1.344.262;11.335;2.355.602;5.811;1.202.256;9.317;1.963.447;15.128;3.165.703;
6;6101;RANCAGUA;1.376;293.805;5.685;1.212.025;7.061;1.505.831;10.420;2.067.672;12.102;2.512.618;22.522;4.580.291;11.796;2.361.478;17.787;3.724.644;29.583;6.086.122;
6;6102;CODEGUA;88;18.766;293;62.252;381;81.019;705;148.119;519;108.974;1.224;257.093;793;166.886;812;171.226;1.605;338.112;
6;6103;COINCO;161;34.502;285;61.074;446;95.576;380;78.818;322;67.544;702;146.362;541;113.320;607;128.618;1.148;241.938;
6;6104;COLTAUCO;254;54.404;563;120.649;817;175.053;1.109;235.000;900;191.735;2.009;426.736;1.363;289.404;1.463;312.384;2.826;601.788;
6;6105;DOÑIHUE;177;37.930;529;113.154;706;151.084;1.079;224.420;958;202.998;2.037;427.418;1.256;262.350;1.487;316.152;2.743;578.503;
6;6106;GRANEROS;174;37.218;606;127.953;780;165.170;1.434;298.448;1.355;287.045;2.789;585.492;1.608;335.666;1.961;414.997;3.569;750.663;
6;6107;LAS CABRAS;370;79.290;819;175.185;1.189;254.475;1.434;302.674;1.041;220.633;2.475;523.307;1.804;381.963;1.860;395.819;3.664;777.782;
6;6108;MACHALI;187;39.865;900;192.381;1.087;232.246;1.676;329.909;1.688;350.599;3.364;680.508;1.863;369.774;2.588;542.980;4.451;912.754;
6;6109;MALLOA;258;55.288;419;89.229;677;144.517;707;149.586;604;127.447;1.311;277.033;965;204.874;1.023;216.676;1.988;421.550;
6;6110;MOSTAZAL;213;45.469;564;120.672;777;166.141;1.323;278.138;1.123;237.854;2.446;515.991;1.536;323.606;1.687;358.526;3.223;682.132;
6;6111;OLIVAR;96;20.572;330;69.949;426;90.522;651;135.557;539;114.134;1.190;249.691;747;156.130;869;184.083;1.616;340.212;
6;6112;PEUMO;117;25.073;376;80.575;493;105.648;880;186.324;720;153.129;1.600;339.453;997;211.396;1.096;233.705;2.093;445.101;
6;6113;PICHIDEGUA;275;58.931;682;145.560;957;204.491;1.131;239.504;856;182.045;1.987;421.549;1.406;298.436;1.538;327.604;2.944;626.040;
6;6114;QUINTA DE TILCOCO;303;64.932;427;91.314;730;156.245;625;132.668;556;118.673;1.181;251.341;928;197.599;983;209.987;1.911;407.586;
6;6115;RENGO;579;123.942;1.342;284.896;1.921;408.838;2.790;589.428;2.860;604.578;5.650;1.194.006;3.369;713.370;4.202;889.474;7.571;1.602.844;
